colour_cleaned,area_2cm_sqft,area_3cm_sqft,sale_value,material_cost,cost_per_unit,sale_per_unit,profit
andromenda white,0,2820.81384,1911929.669,1705996,604.7885812,677.793636,73.00505481
antique white,1666.084212,1493.93556,1292939.074,986661,312.23254,409.1553748,96.92283476
ashoka brown,0,887.8916058,97499.80286,72000,81.0909795,109.8104794,28.71949987
astoria,0,350.069,136001.8065,120630,344.5892096,388.5,43.91079044
astoria gold,0,733.313,143805.9146,224025,305.497107,196.1044119,-109.392695
azul neuvo,552.076,1548.089244,1241341.024,1099155,523.3659604,591.0682636,67.70230314
azul nuevo,189322.7559,101910.6554,107310677.4,103462428,355.2560387,368.4696649,13.21362621
baltic brown,221.778,6186.090328,2324957.076,2590559,404.277814,362.8284722,-41.44934178
bash paradiso,0,441.764,179998.5089,163883,370.9740948,407.4540001,36.47990533
